id;province_id;city_id;city_name
1;1;110101;东城区
2;1;110102;西城区
3;1;110105;朝阳区
4;1;110106;丰台区
5;1;110107;石景山区
6;1;110108;海淀区
7;1;110109;门头沟区
8;1;110111;房山区
9;1;110112;通州区
10;1;110113;顺义区
11;1;110114;昌平区
12;1;110115;大兴区
13;1;110116;怀柔区
14;1;110117;平谷区
15;1;110228;密云县
16;1;110229;延庆县
17;2;120101;和平区
18;2;120102;河东区
19;2;120103;河西区
20;2;120104;南开区
21;2;120105;河北区
22;2;120106;红桥区
23;2;120110;东丽区
24;2;120111;西青区
25;2;120112;津南区
26;2;120113;北辰区
27;2;120114;武清区
28;2;120115;宝坻区
29;2;120116;滨海新区
30;2;120221;宁河县
31;2;120223;静海县
32;2;120225;蓟县
33;3;130100;石家庄市
34;3;130102;长安区
35;3;130103;桥东区
36;3;130104;桥西区
37;3;130105;新华区
38;3;130107;井陉矿区
39;3;130108;裕华区
40;3;130121;井陉县
41;3;130123;正定县
42;3;130124;栾城县
43;3;130125;行唐县
44;3;130126;灵寿县
45;3;130127;高邑县
46;3;130128;深泽县
47;3;130129;赞皇县
48;3;130130;无极县
49;3;130131;平山县
50;3;130132;元氏县
51;3;130133;赵县
52;3;130181;辛集市
53;3;130182;藁城市
54;3;130183;晋州市
55;3;130184;新乐市
56;3;130185;鹿泉市
57;3;130200;唐山市
58;3;130202;路南区
59;3;130203;路北区
60;3;130204;古冶区
61;3;130205;开平区
62;3;130207;丰南区
63;3;130208;丰润区
64;3;130209;曹妃甸区
65;3;130223;滦县
66;3;130224;滦南县
67;3;130225;乐亭县
68;3;130227;迁西县
69;3;130229;玉田县
70;3;130281;遵化市
71;3;130283;迁安市
72;3;130300;秦皇岛市
73;3;130302;海港区
74;3;130303;山海关区
75;3;130304;北戴河区
76;3;130321;青龙满族自治县
77;3;130322;昌黎县
78;3;130323;抚宁县
79;3;130324;卢龙县
80;3;130400;邯郸市
81;3;130402;邯山区
82;3;130403;丛台区
83;3;130404;复兴区
84;3;130406;峰峰矿区
85;3;130421;邯郸县
86;3;130423;临漳县
87;3;130424;成安县
88;3;130425;大名县
89;3;130426;涉县
90;3;130427;磁县
91;3;130428;肥乡县
92;3;130429;永年县
93;3;130430;邱县
94;3;130431;鸡泽县
95;3;130432;广平县
96;3;130433;馆陶县
97;3;130434;魏县
98;3;130435;曲周县
99;3;130481;武安市
100;3;130500;邢台市
101;3;130502;桥东区
102;3;130503;桥西区
103;3;130521;邢台县
104;3;130522;临城县
105;3;130523;内丘县
106;3;130524;柏乡县
107;3;130525;隆尧县
108;3;130526;任县
109;3;130527;南和县
110;3;130528;宁晋县
111;3;130529;巨鹿县
112;3;130530;新河县
113;3;130531;广宗县
114;3;130532;平乡县
115;3;130533;威县
116;3;130534;清河县
117;3;130535;临西县
118;3;130581;南宫市
119;3;130582;沙河市
120;3;130600;保定市
121;3;130602;新市区
122;3;130603;北市区
123;3;130604;南市区
124;3;130621;满城县
125;3;130622;清苑县
126;3;130623;涞水县
127;3;130624;阜平县
128;3;130625;徐水县
129;3;130626;定兴县
130;3;130627;唐县
131;3;130628;高阳县
132;3;130629;容城县
133;3;130630;涞源县
134;3;130631;望都县
135;3;130632;安新县
136;3;130633;易县
137;3;130634;曲阳县
138;3;130635;蠡县
139;3;130636;顺平县
140;3;130637;博野县
141;3;130638;雄县
142;3;130681;涿州市
143;3;130682;定州市
144;3;130683;安国市
145;3;130684;高碑店市
146;3;130700;张家口市
147;3;130702;桥东区
148;3;130703;桥西区
149;3;130705;宣化区
150;3;130706;下花园区
151;3;130721;宣化县
152;3;130722;张北县
153;3;130723;康保县
154;3;130724;沽源县
155;3;130725;尚义县
156;3;130726;蔚县
157;3;130727;阳原县
158;3;130728;怀安县
159;3;130729;万全县
160;3;130730;怀来县
161;3;130731;涿鹿县
162;3;130732;赤城县
163;3;130733;崇礼县
164;3;130800;承德市
165;3;130802;双桥区
166;3;130803;双滦区
167;3;130804;鹰手营子矿区
168;3;130821;承德县
169;3;130822;兴隆县
170;3;130823;平泉县
171;3;130824;滦平县
172;3;130825;隆化县
173;3;130826;丰宁满族自治县
174;3;130827;宽城满族自治县
175;3;130828;围场满族蒙古族自治县
176;3;130900;沧州市
177;3;130902;新华区
178;3;130903;运河区
179;3;130921;沧县
180;3;130922;青县
181;3;130923;东光县
182;3;130924;海兴县
183;3;130925;盐山县
184;3;130926;肃宁县
185;3;130927;南皮县
186;3;130928;吴桥县
187;3;130929;献县
188;3;130930;孟村回族自治县
189;3;130981;泊头市
190;3;130982;任丘市
191;3;130983;黄骅市
192;3;130984;河间市
193;3;131000;廊坊市
194;3;131002;安次区
195;3;131003;广阳区
196;3;131022;固安县
197;3;131023;永清县
198;3;131024;香河县
199;3;131025;大城县
200;3;131026;文安县
201;3;131028;大厂回族自治县
202;3;131081;霸州市
203;3;131082;三河市
204;3;131100;衡水市
205;3;131102;桃城区
206;3;131121;枣强县
207;3;131122;武邑县
208;3;131123;武强县
209;3;131124;饶阳县
210;3;131125;安平县
211;3;131126;故城县
212;3;131127;景县
213;3;131128;阜城县
214;3;131181;冀州市
215;3;131182;深州市
216;4;140100;太原市
217;4;140105;小店区
218;4;140106;迎泽区
219;4;140107;杏花岭区
220;4;140108;尖草坪区
221;4;140109;万柏林区
222;4;140110;晋源区
223;4;140121;清徐县
224;4;140122;阳曲县
225;4;140123;娄烦县
226;4;140181;古交市
227;4;140200;大同市
228;4;140203;矿区
229;4;140211;南郊区
230;4;140212;新荣区
231;4;140221;阳高县
232;4;140222;天镇县
233;4;140223;广灵县
234;4;140224;灵丘县
235;4;140225;浑源县
236;4;140226;左云县
237;4;140227;大同县
238;4;140300;阳泉市
239;4;140303;矿区
240;4;140311;郊区
241;4;140321;平定县
242;4;140322;盂县
243;4;140400;长治市
244;4;140411;郊区
245;4;140421;长治县
246;4;140423;襄垣县
247;4;140424;屯留县
248;4;140425;平顺县
249;4;140426;黎城县
250;4;140427;壶关县
251;4;140428;长子县
252;4;140429;武乡县
253;4;140430;沁县
254;4;140431;沁源县
255;4;140481;潞城市
256;4;140500;晋城市
257;4;140501;晋城市市辖区
258;4;140521;沁水县
259;4;140522;阳城县
260;4;140524;陵川县
261;4;140525;泽州县
262;4;140581;高平市
263;4;140600;朔州市
264;4;140602;朔城区
265;4;140603;平鲁区
266;4;140621;山阴县
267;4;140622;应县
268;4;140623;右玉县
269;4;140624;怀仁县
270;4;140700;晋中市
271;4;140702;榆次区
272;4;140721;榆社县
273;4;140722;左权县
274;4;140723;和顺县
275;4;140724;昔阳县
276;4;140725;寿阳县
277;4;140726;太谷县
278;4;140727;祁县
279;4;140728;平遥县
280;4;140729;灵石县
281;4;140781;介休市
282;4;140800;运城市
283;4;140802;盐湖区
284;4;140821;临猗县
285;4;140822;万荣县
286;4;140823;闻喜县
287;4;140824;稷山县
288;4;140825;新绛县
289;4;140826;绛县
290;4;140827;垣曲县
291;4;140828;夏县
292;4;140829;平陆县
293;4;140830;芮城县
294;4;140881;永济市
295;4;140882;河津市
296;4;140900;忻州市
297;4;140902;忻府区
298;4;140921;定襄县
299;4;140922;五台县
300;4;140923;代县
301;4;140924;繁峙县
302;4;140925;宁武县
303;4;140926;静乐县
304;4;140927;神池县
305;4;140928;五寨县
306;4;140929;岢岚县
307;4;140930;河曲县
308;4;140931;保德县
309;4;140932;偏关县
310;4;140981;原平市
311;4;141000;临汾市
312;4;141002;尧都区
313;4;141021;曲沃县
314;4;141022;翼城县
315;4;141023;襄汾县
316;4;141024;洪洞县
317;4;141025;古县
318;4;141026;安泽县
319;4;141027;浮山县
320;4;141028;吉县
321;4;141029;乡宁县
322;4;141030;大宁县
323;4;141031;隰县
324;4;141032;永和县
325;4;141033;蒲县
326;4;141034;汾西县
327;4;141081;侯马市
328;4;141082;霍州市
329;4;141100;吕梁市
330;4;141102;离石区
331;4;141121;文水县
332;4;141122;交城县
333;4;141123;兴县
334;4;141124;临县
335;4;141125;柳林县
